kode,nama
11.01.06.2006,madat
11.01.06.2007,alur seumerah
11.01.06.2008,tengah
11.01.06.2009,gunung cut
11.01.06.2010,alur pinang
11.01.06.2011,kuta blang
11.01.06.2012,batee tunggai
11.01.06.2013,ujung tanah
11.01.06.2014,ujung kampung
11.01.06.2015,jilatang
11.01.06.2016,luar
11.01.06.2017,lubuk layu
11.01.06.2018,suaq hulu
11.01.06.2019,tampang
11.01.06.2020,payonan gadang
11.01.06.2021,gadang
11.01.06.2022,baru
11.01.06.2023,ladang kasik putih
11.01.06.2024,air sialang hilir.
11.01.06.2025,air sialang hulu
11.01.06.2026,air sialang tengah
11.01.06.2027,balai
11.01.06.2028,arafah
11.01.07,sawang
11.01.07.2001,sikulat
11.01.07.2002,sawang i
11.01.07.2003,meuligo
11.01.07.2004,lhok pawoh
11.01.07.2005,sawang ii
11.01.07.2006,ujung karang
11.01.07.2007,trieng meuduro baroh
11.01.07.2008,trieng meuduro tunong
11.01.07.2009,panton luas
11.01.07.2010,simpang tiga
11.01.07.2011,kuta baro
11.01.07.2012,blang geulinggang
11.01.07.2013,mutiara
11.01.07.2014,ujung padang
11.01.07.2015,sawang ba'u
11.01.08,tapaktuan
11.01.08.2001,lhok keutapang
11.01.08.2002,hilir
11.01.08.2003,padang
11.01.08.2004,hulu
11.01.08.2005,jambo apha
11.01.08.2006,tepi air
11.01.08.2007,pasar
11.01.08.2008,lhok bengkuang
11.01.08.2009,panton luas
11.01.08.2010,gunung kerambil
11.01.08.2011,air berudang
11.01.08.2012,batu itam
11.01.08.2013,panjupian
11.01.08.2014,lhok rukam
11.01.08.2015,air pinang
11.01.08.2016,lhok bengkuang timur
11.01.09,trumon
11.01.09.2001,keude trumon
11.01.09.2002,ujong tanoh
11.01.09.2003,sigleng
11.01.09.2004,ie meudama
11.01.09.2005,teupin tinggi
11.01.09.2006,kuta baro
11.01.09.2007,panton bilie
11.01.09.2012,kuta padang
11.01.09.2013,raket
11.01.09.2014,gampong teungoh
11.01.09.2015,seuneubok jaya
11.01.09.2016,padang harapan
11.01.10,pasi raja
11.01.10.2001,ladang teungoh
11.01.10.2002,pucok krueng
11.01.10.2003,silolo
11.01.10.2004,kampung baru
11.01.10.2005,panton bili
11.01.10.2006,paya ateuk
11.01.10.2007,ladang tuha
11.01.10.2008,mata ie
11.01.10.2009,ujong batee
11.01.10.2010,lhok sialang cut
11.01.10.2011,seuneubok
11.01.10.2012,ie mirah
11.01.10.2013,pasie rasian
11.01.10.2014,ujung padang rasian
11.01.10.2015,krueng kalee
11.01.10.2016,lhok sialang rayeuk
11.01.10.2017,gampong baro
11.01.10.2018,teupin gajah
11.01.10.2019,ujung padang asahan
11.01.10.2020,pulo ie ii
11.01.10.2021,pante raja
11.01.11,labuhan haji timur
11.01.11.2001,tengah peulumat
11.01.11.2002,paya peulumat
11.01.11.2003,padang peulumat
11.01.11.2004,aur peulumat
11.01.11.2005,limau saring
11.01.11.2006,beutong
11.01.11.2007,peuneulop
11.01.11.2008,gunung rotan
11.01.11.2009,keumumu hilir
11.01.11.2010,keumumu hulu
11.01.11.2011,keumumu seberang
11.01.11.2012,sawang indah
11.01.12,labuhan haji barat
11.01.12.2001,tutong
11.01.12.2002,teungoh iboh
11.01.12.2003,peulokan
11.01.12.2004,kuta iboh
11.01.12.2005,ujung padang
11.01.12.2006,blang baru
11.01.12.2007,blang poroh
11.01.12.2008,pulo ie
11.01.12.2009,suak lokan
11.01.12.2010,iku lhueng
11.01.12.2011,kuta trieng
11.01.12.2012,pante geulima
11.01.12.2013,panton pawoh
11.01.12.2014,batee meucanang
11.01.12.2015,panton rubek
11.01.13,kluet tengah
11.01.13.2001,koto
11.01.13.2002,alur keujrun
11.01.13.2003,jambo papan
11.01.13.2004,malaka
11.01.13.2005,koto indarung
11.01.13.2006,siurai-urai
11.01.13.2007,kampung sawah
11.01.13.2008,kampung padang
11.01.13.2009,pulo air
11.01.13.2010,lawe melang
11.01.13.2011,mersak
11.01.13.2012,simpang dua
11.01.13.2013,simpang tiga
11.01.14,kluet timur
11.01.14.2001,paya dapur
11.01.14.2002,sapik
11.01.14.2003,alai
11.01.14.2004,durian kawan
11.01.14.2005,lawe sawah
11.01.14.2006,lawe buluh didi
11.01.14.2007,pucuk lembang
11.01.14.2008,paya laba
11.01.14.2009,lawe cimanok
11.01.15,bakongan timur
11.01.15.2001,pasie seubadeh
11.01.15.2002,ladang rimba
11.01.15.2003,ujong pulo rayeuk
11.01.15.2004,sawah tingkeum
11.01.15.2005,simpang
11.01.15.2006,ujong pulo cut
11.01.15.2008,seuleukat
11.01.16,trumon timur
11.01.16.2005,pinto rimba
11.01.16.2006,krueng luas
11.01.16.2007,jambo dalem
11.01.16.2008,kapa sesak
11.01.16.2009,seuneubok punto
11.01.16.2010,seuneubok pusaka
11.01.16.2011,alur bujok
11.01.16.2012,titi poben
11.01.17,kota bahagia
11.01.17.2001,buket gadeng
11.01.17.2002,rambong
11.01.17.2003,seuneubok keuranji
11.01.17.2004,seuneubok alur buloh
11.01.17.2005,ujong tanoh
11.01.17.2006,ujong gunong cut
11.01.17.2007,ujong gunung rayeuk
11.01.17.2008,beutong
11.01.17.2009,jambo keupok
11.01.17.2010,alurduamas
11.01.18,trumon tengah
11.01.18.2001,ladang rimba
11.01.18.2002,gunong kapho
11.01.18.2003,kampong teungoh
11.01.18.2004,krueng batee
11.01.18.2005,pulo paya
11.01.18.2006,jambo papeun
11.01.18.2007,cot bayu
11.01.18.2008,naca
11.01.18.2009,ie jeureuneh
11.01.18.2010,lhok raya
11.02,kab. aceh tenggara
11.02.01,lawe alas
11.02.01.2001,engkeran
11.02.01.2002,rumah kampung
11.02.01.2004,pasir bangun
11.02.01.2006,kubu
11.02.01.2007,lawe kongker
11.02.01.2008,kuta cingkam ii
11.02.01.2009,muara baru
11.02.01.2011,kuta batu i
11.02.01.2012,kuta cingkam i
11.02.01.2013,kuta batu ii
11.02.01.2014,lawe sempilang
11.02.01.2015,prapat batu nunggul
11.02.01.2016,pulo sepang
11.02.01.2017,rih mbelang
11.02.01.2018,kute batu baru
11.02.01.2019,darul amin
11.02.01.2020,lawe lubang indah
11.02.01.2021,batu hamparan
11.02.01.2022,paye munje
11.02.01.2023,pulo ndapdap
11.02.01.2024,pasir nunggul
11.02.01.2025,cingkham mekhanggun
11.02.01.2026,pintu khimbe
11.02.01.2027,lawe kongker hilir
11.02.01.2028,pulo gadung
11.02.01.2029,pasikh pehkmate
11.02.01.2030,pasikh nunang
11.02.01.2031,deleng kukusen
11.02.02,lawe sigala-gala
11.02.02.2001,bukit merdeka
11.02.02.2002,darul aman
11.02.02.2003,lawe kesumpat
11.02.02.2004,lawe tua gabungan
11.02.02.2005,lawe sigala ii
11.02.02.2006,lawe sigala timur
11.02.02.2007,lawe sigala barat
11.02.02.2008,suka damai
11.02.02.2009,kute tengah
11.02.02.2010,tanah baru
11.02.02.2011,kedataran gabungan
11.02.02.2012,gabungan parsaroan
11.02.02.2013,lawe loning gabungan
11.02.02.2014,lawe loning aman
11.02.02.2015,suka maju
11.02.02.2016,lawe tua makmur
11.02.02.2017,lawe tua persatuan
11.02.02.2018,lawe serke
11.02.02.2019,lawe rakat
11.02.02.2020,suka jaya
11.02.02.2021,enmiya batu dua ratus
11.02.02.2022,sebungke
11.02.02.2023,bukit sepakat
11.02.02.2024,lawe loning sepakat
11.02.02.2025,lawe loning i
11.02.02.2026,gaya jaya
11.02.02.2027,gelah musara
11.02.02.2028,mulie dame
11.02.02.2029,lawe loning hakhapen
11.02.02.2030,karya indah
11.02.02.2031,kayu mbelin
11.02.02.2032,lawe sigala barat jaya
11.02.02.2033,lawe pekhidinen
11.02.02.2034,kertimbang
11.02.02.2035,ndauh nitenggo
11.02.03,bambel
11.02.03.2001,bambel gabungan
11.02.03.2002,kisam
11.02.03.2005,lawe hijo
11.02.03.2006,pinding
11.02.03.2009,terutung megara asli
11.02.03.2011,biak muli
11.02.03.2012,kute lang-lang
11.02.03.2013,pedesi
11.02.03.2014,terutung payung hulu
11.02.03.2015,terutung payung hilir
11.02.03.2016,tualang sembilar
11.02.03.2017,kuning i
11.02.03.2018,kuning ii
11.02.03.2019,cinta damai
11.02.03.2020,likat
11.02.03.2021,rikit
11.02.03.2023,bambel
11.02.03.2025,lawe kihing
11.02.03.2026,terutung seperai
11.02.03.2027,kute seri
11.02.03.2028,kuta antara
11.02.03.2029,pulo perengge
11.02.03.2031,pulo kendondong
11.02.03.2033,pancakh iman
11.02.03.2034,biak muli baru
11.02.03.2035,biak muli pantai raja
11.02.03.2036,biak muli sejahtera
11.02.03.2037,lembah haji
11.02.03.2038,terutung payung gabungan
11.02.03.2039,lawe hijo metuah
11.02.03.2040,ampera
11.02.03.2041,tembilakh mbakhu
11.02.03.2042,kute lang-lang bakhu
11.02.04,babussalam
11.02.04.2001,kota kutacane
11.02.04.2002,perapat hilir
11.02.04.2003,perapat hulu
11.02.04.2004,muara lawe bulan
11.02.04.2005,mbarung
11.02.04.2006,batu mbulan asli
11.02.04.2007,batu mbulan i
11.02.04.2008,batu mbulan ii
11.02.04.2009,kampung raja
11.02.04.2010,pulonas
11.02.04.2011,kampung melayu gabungan
11.02.04.2012,terutung pedi
11.02.04.2013,kute rih
11.02.04.2014,gumpang jaya
11.02.04.2015,pulo latong
11.02.04.2016,kutacane lama
11.02.04.2017,batu mbulan mbaru
11.02.04.2018,pulo peding
11.02.04.2019,mendabe
11.02.04.2020,ujung barat
11.02.04.2021,pekhapat titi panjang
11.02.04.2022,pekhapat sepakat
11.02.04.2023,alas marantcar
11.02.04.2024,batu mbulan sepakat
11.02.04.2025,pulo sanggakh
11.02.04.2026,melayu i
11.02.04.2027,mbarung datuk saudane
11.02.05,badar
11.02.05.2005,salang alas
11.02.05.2009,kuta pasir
11.02.05.2011,purwodadi
11.02.05.2012,kuta tinggi
11.02.05.2013,kampung baru
11.02.05.2014,peranginan
11.02.05.2015,natam
11.02.05.2025,kumbang jaya
11.02.05.2026,kumbang indah
11.02.05.2027,natam baru
11.02.05.2029,deleng megakhe
11.02.05.2030,lawe bekung
11.02.05.2031,lawe bekung tampahan
11.02.05.2032,badar indah
11.02.05.2033,batu mbekhong
11.02.05.2034,tanah merah
11.02.05.2035,tanoh megakhe
11.02.05.2036,lawe sekerah
11.02.06,babul makmur
11.02.06.2001,pardomuan ii
11.02.06.2002,lawe desky i
11.02.06.2003,lawe desky sabas
11.02.06.2004,pardomuan i
11.02.06.2005,cinta damai
11.02.06.2006,pardamean
11.02.06.2007,lawe desky tongah
11.02.06.2008,kute bakti
11.02.06.2010,muara situlen
11.02.06.2011,sejahtera
11.02.06.2012,kute makmur
11.02.06.2013,pardamean
11.02.06.2014,lawe mantik
11.02.06.2015,cinta makmur
11.02.06.2016,muara setia
11.02.06.2017,tanoh alas
11.02.06.2018,sejahtera baru
11.02.06.2024,lawe tawakh
11.02.06.2025,sabilussalam
11.02.06.2026,lawe desky jaya
11.02.06.2027,pintu alas
11.02.07,darul hasanah
11.02.07.2001,gulo
11.02.07.2002,pulo piku
11.02.07.2003,terutung kute
11.02.07.2004,kute ujung
11.02.07.2005,lawe stul
11.02.07.2006,kite merangun
11.02.07.2007,mamas
11.02.07.2008,tanjung lama
11.02.07.2009,tanjung muda
11.02.07.2010,rambung teldak
11.02.07.2011,tanjung aman
11.02.07.2012,sri muda
11.02.07.2013,ujung baru
11.02.07.2014,kute rambe
11.02.07.2015,mamas baru
11.02.07.2016,rambung jaya
11.02.07.2017,makmur jaya
11.02.07.2018,darul makmur
11.02.07.2019,tanjung bakhu
11.02.07.2020,pulo gabung
11.02.07.2021,kokhtan jaya
11.02.07.2022,istiqamah
11.02.07.2023,lawe mamas indah
11.02.07.2024,tanjung leuser
11.02.07.2025,simpang iv tanjung
11.02.07.2026,lawe pinis
11.02.07.2027,buntul kendawi
11.02.07.2028,kuning abadi
11.02.08,lawe bulan
11.02.08.2001,pasir gala
11.02.08.2002,pasir penjengakan
11.02.08.2003,kutambaru
11.02.08.2004,lawe sagu hulu
11.02.08.2005,lawe sagu hilir
11.02.08.2006,kute bantil
11.02.08.2011,lawe kolok
11.02.08.2012,lawe rutung
11.02.08.2013,kampung nangka
11.02.08.2014,tenembak juhar
11.02.08.2015,simpang empat
11.02.08.2016,kuta buluh botong
11.02.08.2017,katambaru becawan
11.02.08.2018,lawe kinge
11.02.08.2019,kandang mbelang mandiri
11.02.08.2020,mbacang racun
11.02.08.2021,telaga mekar
11.02.08.2023,pulonas baru
11.02.08.2025,kuta genting
11.02.08.2026,lawe sagu baru
11.02.08.2027,lawe sagu
11.02.08.2028,pekhapet timur
11.02.08.2029,bahagia
11.02.08.2030,kute galuh asli
11.02.09,bukit tusam
11.02.09.2001,kute lengat pangan
11.02.09.2002,kute lengat selian
11.02.09.2003,tualang baru
11.02.09.2004,alur buluh
11.02.09.2005,maha singkil
11.02.09.2006,tenembak bintang
11.02.09.2007,kute lingga
11.02.09.2008,rikit bur
11.02.09.2010,kerukunan
11.02.09.2011,lawe dua
11.02.09.2012,rema
11.02.09.2013,bambel baru
11.02.09.2014,pejuang
11.02.09.2015,darussalam
11.02.09.2016,amaliah
11.02.09.2017,sebudi jaya
11.02.09.2018,gumpang
11.02.09.2019,kute gekhat
11.02.09.2020,paye khambung
11.02.09.2021,mbak sako
11.02.09.2022,darul imami
11.02.09.2023,rikit bur ii
11.02.09.2024,kute empat lima
11.02.10,semadam
11.02.10.2001,simpang semadam
11.02.10.2002,semadam awal
11.02.10.2003,semadam asal
11.02.10.2004,lawe kinga gabungan
11.02.10.2005,lawe kinga tebing tinggi
11.02.10.2006,kebun sere
11.02.10.2007,lawe beringin horas
11.02.10.2008,lawe. berigin gayo
11.02.10.2009,suka makmur
11.02.10.2010,pasar puntung
11.02.10.2011,titi pasir
11.02.10.2012,lawe petanduk i
11.02.10.2013,ngkeran alur buluh
11.02.10.2014,kampung baru
11.02.10.2015,sepakat segenap
11.02.10.2016,selamat indah
11.02.10.2017,lawe kinge lapter
11.02.10.2018,lawe mejile
11.02.10.2019,lawe petanduk-ii
11.02.11,babul rahmah
11.02.11.2004,titi mas
11.02.11.2005,meranti
11.02.11.2006,kute lang-lang
11.02.11.2007,lawe sumur
11.02.11.2008,pardamaian
11.02.11.2009,salim pipit
11.02.11.2010,penguhapan
11.02.11.2011,lumban tua
11.02.11.2012,mutiara damai
11.02.11.2013,dolok nauli
11.02.11.2014,tuhi jongkat
11.02.11.2015,uning sigugur
11.02.11.2016,lumban sitio-tio
11.02.11.2017,lawe malum
11.02.11.2018,alur baning
11.02.11.2019,lingga alas
11.02.11.2020,khambung tumbung
11.02.11.2021,tuah mesade
11.02.11.2022,sumukh alas
11.02.11.2023,alukh bakhu
11.02.11.2024,sepekhinding
11.02.11.2025,tanoh subukh
11.02.11.2026,pinggan mbelang
11.02.11.2027,sigai indah
11.02.11.2028,ukekh deleng
11.02.11.2029,alas mesikhat
11.02.11.2030,titi hakhapen
11.02.12,ketambe
11.02.12.2001,aunan sepakat
11.02.12.2002,lawe penanggalan
11.02.12.2003,lawe mengkudu
11.02.12.2004,jambur lak-lak
11.02.12.2005,simpang tiga jongar
11.02.12.2006,jongar asli
11.02.12.2007,ketambe
11.02.12.2008,rumah bundar
11.02.12.2009,penyeberangan cingkam
11.02.12.2010,deleng damar
11.02.12.2011,bintang bener
11.02.12.2012,suka rimbun
11.02.12.2013,lawe aunan
11.02.12.2014,bener bepapah
11.02.12.2015,penungkunen
11.02.12.2016,datok pining
11.02.12.2017,kati maju
11.02.12.2018,leuser
11.02.12.2019,jati sara
11.02.12.2020,bukit mbakhu
11.02.12.2021,kayu metangur
11.02.12.2022,lawe sembekan
11.02.12.2023,lawe beringin
11.02.12.2024,lawe ger-ger
11.02.12.2025,simpur jaya
11.02.13,deleng pokhkisen
11.02.13.2001,salang baru
11.02.13.2002,ranto dior
11.02.13.2003,lembah alas
11.02.13.2004,tenembak lang-lang
11.02.13.2005,salang sigotom
11.02.13.2006,tualang lama
11.02.13.2007,gusung batu
11.02.13.2008,kaya pangur
11.02.13.2009,sepakat
11.02.13.2010,lawe pangkat
11.02.13.2011,bunga melur
11.02.13.2012,penampaan
11.02.13.2013,terutung mbelang
11.02.13.2014,salang muara
11.02.13.2015,lawe hakhum
11.02.13.2016,tanoh khukahen
11.02.13.2017,tading ni ulihi
11.02.13.2018,peseluk pesimbe
11.02.13.2019,kane lot
11.02.13.2020,muhajirin
11.02.13.2021,beriring naru
11.02.13.2022,kati jeroh
11.02.14,lawe sumur
11.02.14.2001,terutung megara lawe pasaran
11.02.14.2002,kisam gabungan
11.02.14.2003,kisam kute pasir
11.02.14.2004,lawe sumur
11.02.14.2005,lawe sumur baru
11.02.14.2006,kute lesung
11.02.14.2007,berandang
11.02.14.2008,kute bunin
11.02.14.2009,buah pala
11.02.14.2010,panosan
11.02.14.2011,lawe pasaran tengku mbelin
11.02.14.2012,terutung megahke mbakhu
11.02.14.2013,kisam lestari
11.02.14.2014,kisam kute rambe
11.02.14.2015,lawe polak
11.02.14.2016,lawes sumur sepakat
11.02.14.2017,setia baru
11.02.14.2018,teger miko
11.02.15,tanoh alas
11.02.15.2001,salim pinim i
11.02.15.2002,jambur damar
11.02.15.2003,alur langsat
11.02.15.2004,rambah sayang
11.02.15.2006,rumah luar
11.02.15.2007,tenembak alas
11.02.15.2008,lawe tungkal
11.02.15.2009,salim pinim ii
11.02.15.2010,jambukh pekhmate
11.02.15.2011,khutung mbelang
11.02.15.2012,timang rasa
11.02.15.2013,stambul jaya
11.02.15.2014,alur nangke
11.02.15.2015,kute mejile
11.02.16,leuser
11.02.16.2001,bintang alga musara
11.02.16.2002,bintang bukit indah
11.02.16.2003,tanjung sari
11.02.16.2004,bun-bun alas
11.02.16.2005,naga timbul
11.02.16.2006,gunung pak-pak
11.02.16.2007,bukit meriah
11.02.16.2008,permata musara
11.02.16.2009,laut tawar
11.02.16.2010,kane mende
11.02.16.2011,lawe sekhakut
11.02.16.2012,bunbun indah
11.02.16.2013,suka damai
11.02.16.2014,tuah kekhine
11.02.16.2015,punce nali
11.02.16.2016,sade ate
11.02.16.2017,akhih majile
11.02.16.2018,ukhat peseluk
11.02.16.2019,tunas mude
11.02.16.2020,gaye sendah
11.02.16.2021,kute hakhapen
11.02.16.2022,kompas
11.02.16.2023,sepakat
11.03,kab. aceh timur
11.03.01,darul aman
11.03.01.2001,alue luddin sa
11.03.01.2002,alue luddin dua
11.03.01.2003,alue dalam
11.03.01.2004,dama pulo sa
11.03.01.2005,dama pulo dua
11.03.01.2006,buket kulam
11.03.01.2007,seuneubok teungoh
11.03.01.2008,jungka gajah
11.03.01.2009,seuneubok simpang
11.03.01.2010,matang pineung
11.03.01.2011,lhok geulumpang
11.03.01.2012,blang buket
11.03.01.2013,meunasah keutapang
11.03.01.2014,buket rumia
11.03.01.2015,alue gadeng
11.03.01.2016,kapai baro
11.03.01.2017,seuneubok tuha sa
11.03.01.2018,seuneubok tuha dua
11.03.01.2019,seuneubok buloh
11.03.01.2020,gaseh sayang
11.03.01.2021,alue lhok
11.03.01.2022,trieng gadeng
11.03.01.2023,grong-grong
11.03.01.2024,matang geuto
11.03.01.2025,alue merbo
11.03.01.2026,buket raya
11.03.01.2027,gampong keude
11.03.01.2028,peukan idi cut
11.03.01.2029,gampong beunot
11.03.01.2030,seuneubok baroh
11.03.01.2031,teupin drum
11.03.01.2032,kuala idi cut
11.03.01.2034,seuneubok aceh
11.03.01.2035,gampong baro
11.03.01.2036,bagok panah sa
11.03.01.2037,bagok panah dua
11.03.01.2038,bagok panah lhee
11.03.01.2039,bagok panah peut
11.03.01.2040,buket tualang
11.03.01.2041,keumuneng sa
11.03.01.2042,keumuneng dua
11.03.01.2043,keumuneng lhee
11.03.01.2044,keumuneng peut
11.03.01.2045,keumuneng limong
11.03.01.2046,meunasah blang
11.03.02,julok
11.03.02.2001,blang keumahang
11.03.02.2002,blang jambee
11.03.02.2003,keumuneng
11.03.02.2004,ladang baro
11.03.02.2005,buket panyang
11.03.02.2006,seuneubok rambong
11.03.02.2007,seuneubok baro
11.03.02.2008,blang mideun
11.03.02.2009,paya bakong
11.03.02.2010,teupin raya
11.03.02.2011,lhok rambong
11.03.02.2012,julok tunong
11.03.02.2013,ulee ateung
11.03.02.2014,ulee blang
11.03.02.2015,labuhan
11.03.02.2016,naleung
11.03.02.2017,mane rampak
11.03.02.2018,matang
11.03.02.2019,blang uyok
11.03.02.2020,blang pauh sa
11.03.02.2021,blang pauh dua
11.03.02.2022,ulee tanoh
11.03.02.2023,keude kuta binjei
11.03.02.2024,bukit seroja
11.03.02.2025,kuala geulumpang
11.03.02.2026,gampong baro
11.03.02.2027,tumpok teungoh
11.03.02.2028,seumatang
11.03.02.2029,ujong tunong
11.03.02.2030,bukit dindeng
11.03.02.2031,paya pasi
11.03.02.2032,alue cek doi
11.03.02.2033,blang gleum
11.03.02.2034,tanjong tok blang
11.03.02.2035,buket makmu
11.03.02.2036,lhok seuntang
11.03.02.2037,simpang lhee
11.03.03,idi rayeuk
11.03.03.2001,gampong jawa
11.03.03.2002,keude blang
11.03.03.2003,tanoh anoe
11.03.03.2004,kuala peudawa puntong
11.03.03.2005,gampong aceh
11.03.03.2006,kuta blang
11.03.03.2007,gampong tanjong
11.03.03.2008,blang geulumpang
11.03.03.2009,meunasah pu'uk
11.03.03.2010,bantayan timu
11.03.03.2011,keutapang mameh
11.03.03.2012,seuneubok rambong
11.03.03.2013,kuala idi
11.03.03.2014,keude aceh
11.03.03.2023,seuneubok bacee
11.03.03.2029,titi baro
11.03.03.2047,tanjong kapai
11.03.03.2048,alue dua muka o
11.03.03.2049,alue dua muka s
11.03.03.2050,ulee blang
11.03.03.2051,buket jok
11.03.03.2052,buket meulinteung
11.03.03.2053,gampong jalan
11.03.03.2054,teupin batee
11.03.03.2055,buket langa
11.03.03.2056,buket pala
11.03.03.2057,buket juara
11.03.03.2058,seuneubok tutong
11.03.03.2059,seuneubok tuha
11.03.03.2060,sampoimah
11.03.03.2061,dama pulo
11.03.03.2062,gureb blang
11.03.03.2064,gampong baro
11.03.03.2065,seuneubokteungoh p.puntong
11.03.03.2067,kuta lawah
11.03.04,birem bayeun
11.03.04.2001,jambo labu
11.03.04.2002,alue canang
11.03.04.2003,alue drien
11.03.04.2004,buket tiga
11.03.04.2005,benteng
11.03.04.2006,afeling ii bukit
11.03.04.2007,keumuneng hulu
11.03.04.2008,peutow
11.03.04.2009,alue buloh
11.03.04.2010,alue teh
11.03.04.2011,paya rambong
11.03.04.2012,alue gadeng sa
11.03.04.2013,paya tampah
11.03.04.2014,paya bili dua
11.03.04.2015,paya bili sa
11.03.04.2016,paya peulawi
11.03.04.2017,keude birem
11.03.04.2018,bayeun
11.03.04.2019,aramiyah
11.03.04.2020,blang tualang
11.03.04.2021,buket seuleumak
11.03.04.2022,birem rayeuk
11.03.04.2023,alue gadeng
11.03.04.2024,alue gadeng dua
11.03.04.2025,alue sentang
11.03.04.2026,merbou dua
11.03.04.2027,alue nyamoek
11.03.05,serbajadi
11.03.05.2001,lokop
11.03.05.2002,terujak
11.03.05.2003,tualang
11.03.05.2004,leles
11.03.05.2005,ujung karang
11.03.05.2006,nalon
11.03.05.2007,jering
11.03.05.2008,loot
11.03.05.2009,seku alan
11.03.05.2010,sunti
11.03.05.2011,umah taring
11.03.05.2012,bunin
11.03.05.2013,sembuang
11.03.05.2014,seuleumak
11.03.05.2015,mesir
11.03.05.2016,rampah
11.03.05.2022,arul durin
11.03.06,nurussalam
11.03.06.2001,keude bagok sa
11.03.06.2002,keude bagok dua
11.03.06.2003,asan tanjong
11.03.06.2004,bantayan
11.03.06.2005,matang seuleumak
11.03.06.2006,teupin pukat
11.03.06.2007,matang neuheun
11.03.06.2008,kuala bagok
11.03.06.2009,meunasah teungoh
11.03.06.2010,medang ara
11.03.06.2011,peulawi
11.03.06.2012,baroh bugeng
11.03.06.2013,seumatang aron
11.03.06.2014,blang panjou
11.03.06.2025,pulo u
11.03.06.2026,cot asan
11.03.06.2027,paya enjee
11.03.06.2028,seuleumak muda
11.03.06.2029,matang panyang
11.03.06.2030,meunasah hagu
11.03.06.2031,matang kunyet
11.03.06.2032,buket panjou
11.03.06.2033,buket meurak
11.03.06.2034,buket panyang
11.03.06.2035,seuneubok dalam
11.03.06.2036,gampong mesjid
11.03.06.2037,alue siwah serdang
11.03.06.2038,gampong lhee
11.03.06.2039,beurandang
11.03.06.2040,gampong jalan
11.03.06.2041,seuneubok rambong
11.03.07,peureulak
11.03.07.2001,pasir putih
11.03.07.2002,tualang
11.03.07.2003,keude peureulak
11.03.07.2004,leuge
11.03.07.2005,uteun dama
11.03.07.2006,punti
11.03.07.2007,alue dua paya gajah
11.03.07.2008,blang bitra
11.03.07.2009,kuala bugak
